Index,gameDuration
0,1043.1230268401407
1,1448.8221231064283
2,1842.6015945395834
3,1668.28632658016
4,1383.4311556726432
5,1775.0938977541095
6,1677.288261313287
7,1760.5611862795038
8,1458.9762897318642
9,1927.280999634792
10,1694.5259454764428
11,1446.5102437833739
12,1887.5166221257653
13,1704.6731853309075
14,1515.7200495810398
15,1359.6472982253345
16,1145.5539443513223
17,1656.1447477470383
18,2196.892386466716
19,2437.6156308178347
20,1420.9010561212326
21,1540.8218379600562
22,1669.0018426502534
23,1714.2340485618754
24,1790.9923165989915
25,1341.4152713391445
26,1916.4049595516099
27,1639.7924732568838
28,2386.9187907583464
29,1932.4686649247676
30,1473.5933121785713
31,1643.3623605336882
32,1721.8179036140123
33,1467.6957394673334
34,1538.1959731223621
35,1760.6615655833812
36,1933.9806430042988
37,1095.0167943554713
38,1807.3395813664272
39,2333.9656669591773
40,1761.2082595319796
41,1361.7140082365677
42,1107.5031536632935
43,2042.6114757833186
44,1496.3775805580985
45,1879.2841782565304
46,1552.9727395361228
47,2075.432588605812
48,1699.7361070499762
49,1161.1854024543686
50,1504.8136180302176
51,2135.2774575211374
52,1872.700616830833
53,960.7679463991075
54,1431.2317146681833
55,1847.3135078273708
56,946.2905894660652
57,1947.8741084756234
58,1614.9881667071909
59,1740.0056462281043
60,1640.1887182429675
61,1431.5427148420665
62,1683.637479602165
63,1711.0132367184633
64,2013.4439555317726
65,1318.1864195169599
66,1556.0989141942744
67,1657.6667046405844
68,1020.620400368104
69,196.3953891553187
70,1455.920572786926
71,1616.413161930859
72,2126.2612329335952
73,1058.1692255562743
74,1563.4167471751716
75,1937.107036533004
76,967.451426316711
77,1578.3008387899702
78,1462.9421112448015
79,1668.7286687508872
80,1129.2337992554174
81,1842.9687825937747
82,1633.1787927856972
83,2329.1274033872396
84,1277.1511980762843
85,1384.5630367830408
86,1371.561653488581
87,1761.341205065967
88,1281.3475593142275
89,1359.494382393138
90,2295.8236283514166
91,1397.356549424409
92,932.6269713605527
93,1656.1823276155906
94,1281.450690878457
95,817.2451459943849
96,1231.1843348645402
97,1433.7909391214598
98,1856.7513360004655
99,2031.173512305649
100,2185.2638342117807
101,1039.6021894850303
102,1947.9767576681875
103,1479.95119220534
104,2390.4328811719174
105,1406.8013323931011
106,1281.3393326245223
107,1369.9245822627227
108,779.1776449269956
109,1021.9346579602563
110,625.6390220288185
111,817.7491938132866
112,1033.5477278435778
113,914.6916676573287
114,1071.0652631601276
115,969.9656160137904
116,2115.534666078357
117,1132.7457743901923
118,887.6269898021686
119,892.7081387486576
120,1114.7613368178606
121,915.3720535417303
122,815.348342833813
123,738.0931869912522
124,1081.136779616473
125,818.0108957725656
126,1142.0162280877719
127,1200.837347570058
128,2157.0390412554557
129,1443.0713874304793
130,1334.917497719936
131,1975.047579047834
132,2188.1185967226606
133,2385.1764085214345
134,2189.6417208603684
135,2081.125170130474
136,1339.33046493623
137,1590.0265886558832
138,1571.9669496912861
139,1855.3031159417362
140,1567.822658292644
141,1777.8429643271
142,1912.84979021363
