Index,gameDuration
0,1036.5185746974637
1,1443.6154621379633
2,1838.0596611529672
3,1678.5216773072211
4,1377.4819687398515
5,1767.4751061821062
6,1668.341795679251
7,1764.2901438523763
8,1460.1785352323293
9,1937.0240985720857
10,1678.7250282636332
11,1450.4490492495333
12,1888.6666430561884
13,1700.4884717217162
14,1518.580795750443
15,1368.1977834112001
16,1132.807172152177
17,1640.592507252461
18,2196.2805277892476
19,2416.303142132389
20,1406.0688918233536
21,1541.1864434310646
22,1668.0357956919725
23,1733.899556736896
24,1781.7110264485163
25,1345.3641240356656
26,1914.890813663267
27,1642.2854939087463
28,2390.1519943664425
29,1933.3912054771843
30,1466.4748484414129
31,1655.2726697408377
32,1719.5630135224148
33,1472.2479776819534
34,1524.9266565376417
35,1765.472962724604
36,1944.5246620835408
37,1088.0043514418458
38,1785.561427083902
39,2329.2440820140678
40,1763.5434728297535
41,1367.2013894459853
42,1105.398377787568
43,2052.485604448445
44,1498.8295335770952
45,1875.7835106057844
46,1546.3365755430893
47,2091.6569164930934
48,1699.6238103570017
49,1176.1479661643923
50,1493.2646108723482
51,2164.3901419561034
52,1870.6685344579255
53,960.7616943685179
54,1428.9329325533088
55,1844.7120506900199
56,944.6584024352044
57,1917.7192707683523
58,1624.3917548038637
59,1747.2742049224464
60,1633.6545209001508
61,1424.2528988627425
62,1678.9640317793358
63,1694.6155343737366
64,2003.02490845164
65,1332.1463027765835
66,1552.5432927963752
67,1655.966735424253
68,1017.4952921532982
69,197.03161563874687
70,1450.7364743159173
71,1606.6785302909054
72,2143.5117465476455
73,1056.1454355773599
74,1577.8168947059496
75,1945.8037746733817
76,969.0313260480272
77,1572.968844062969
78,1461.3749777439623
79,1675.146466053845
80,1126.4099710196597
81,1831.771787047284
82,1636.4918858172764
83,2349.3624186190955
84,1275.9448148429974
85,1374.860746063945
86,1379.5990527028787
87,1770.5980658264382
88,1282.401763728194
89,1361.7289883443677
90,2297.465697925203
91,1403.0751483245567
92,930.6484074205009
93,1653.506818404922
94,1185.2515845563244
95,806.0646692926524
96,1230.6381441704696
97,1426.6568476307211
98,1855.1889789194577
99,2041.3662348276882
100,2161.2255719657787
101,1052.8096882035622
102,1931.1751642048794
103,1477.7987001507374
104,2379.564836168678
105,1407.9429310636715
106,1267.5253322491806
107,1360.3860122032497
108,794.6794537217359
109,1023.526917180854
110,595.5510227264518
111,802.652875972729
112,1101.17863970597
113,893.8321632593014
114,1024.4567395497095
115,982.2690856449912
116,2112.1511007382715
117,1102.3221223184917
118,827.0799984906928
119,855.997621176691
120,1146.0960787154404
121,938.6570657648683
122,813.9182922971008
123,720.032672506132
124,1057.4868586608143
125,819.1833727002598
126,1146.5972387130325
127,1195.8826811282017
128,2167.610975879445
129,1446.1755045916973
130,1323.8251189636535
131,1988.3955502181923
132,2165.938928547275
133,2391.501748330024
134,2198.869951457902
135,2088.6679038843567
136,1346.1135151513777
137,1595.4085918569874
138,1575.3431019212576
139,1843.1748291849206
140,1559.08281534587
141,1775.7937054950933
142,1896.4521065078636
143,1179.6672271870605
144,1902.4796372816072
145,1709.7542907549382
146,962.8780795620667
147,1510.298274113862
148,960.3201175046039
149,1737.1848367490995
150,1926.3166525927625
151,1068.9718225793558
152,1307.4569409665664
153,1116.506153166569
154,1189.4214822566855
155,853.7050521828954
156,2098.6970904439786
157,1696.1333018725352
158,1206.7055462458595
159,1546.6726875863458
160,2177.5466858914197
161,1690.8548396113451
162,1158.3884854898956
163,1303.08238538967
